carName,brand,model,category,manufactureYear,licensePlate,price,count,status,color,specifications,imageUrl,warrantyPeriod,number_of_seats,fuel,gear
LYNK & CO 09 HALO,09,& CO 09 HALO,Other,2025,,2199000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 01 2.0 TURBO,01,& CO 01 2.0 TURBO,Other,2025,,999000000,1,Available,xanh,,,12,5,Petrol,số tự động
LYNK & CO 05 HYPER HALO,05,& CO 05 HYPER HALO,Other,2025,,1599000000,1,Available,Black,,,12,5,Petrol,số tự động
Lynk & Co 06 NEW 100% Model 2025,06,& Co 06 NEW 100% Model 2025,Other,2024,,729000000,1,Available,White,,,12,5,Petrol,số tự động
"Lynk & Co 06 1.5 Turbo, Mới 100% Model 2025",06,"& Co 06 1.5 Turbo, Mới 100% Model 2025",Other,2024,,729000000,1,Available,hồng,,,12,5,Petrol,số tự động
Lynk & Co 01 Hyper Black - NEW 100%,01,& Co 01 Hyper Black - NEW 100%,Other,2024,,999000000,1,Available,Black,,,12,5,Petrol,số tự động
Lynk & Co 01 Louder  SẴN GIAO NGAY - NEW 100%,06,& Co 01 Louder SẴN GIAO NGAY - NEW 100%,Other,2024,,999000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 01 SẴN GIAO NGAY - NEW 100%,01,& CO 01 SẴN GIAO NGAY - NEW 100%,Other,2025,,999000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 TRẮNG - XE ĐÔ THỊ - NEW 100%,06,& CO 06 TRẮNG - XE ĐÔ THỊ - NEW 100%,Other,2025,,729000000,1,Available,White,,,12,5,Petrol,số tự động
LYNK & CO 06 1.5 TURBO 2025,06,& CO 06 1.5 TURBO 2025,Other,2025,,729000000,1,Available,xanh,,,12,5,Petrol,số tự động
HYUNDAI MIGHTY W750 EURO 5,W750,MIGHTY W750 EURO 5,Other,2025,,715000000,1,Available,xanh,,,12,5,Diesel,Manual
LYNK & CO 06 HYPER,06,& CO 06 HYPER,Other,2024,,729000000,1,Available,hồng,,,12,5,Petrol,số tự động
